Client_Id,Request_id,Name,Quantity,Price
1,1,Bułka,1,10.00
2,2,Chleb,2,15.00
3,3,Mleko,3,15.00
4,4,Jabka,4,56.00
1,5,Gruszki,5,12.00
2,6,Ziemniaki,67,12.66
3,7,Szynka,4,54.55
1,8,Ser żółty,5,53.33
2,9,Ogórki,3,22.33
3,10,Pieczarki,4,33.55
4,11,Bułka,5,10.00
5,12,Chleb,4,15.00
6,13,Mleko,4,15.00
7,14,Jabka,54,56.00
4,15,Gruszki,45,12.00
8,16,Ziemniaki,54,12.66
9,17,Szynka,23,54.55
5,18,Ser żółty,34,53.33
3,19,Ogórki,76,22.33
1,20,Pieczarki,3,33.55
2,21,Bułka,4,10.00
4,22,Chleb,12,15.00
5,23,Mleko,3,15.00
6,24,Jabka,13,56.00
7,25,Gruszki,56,12.200
5,26,Ziemniaki,3,12.66
3,27,Szynka,3,54.55
4,28,Ser żółty,23,53.33
5,29,Ogórki,4,22.33
6,30,Pieczarki,5,33.55
2,31,Bułka,67,10.00
4,32,Chleb,8,15.00
5,33,Mleko,5,15.00
6,34,Jabka,34,56.00
1,35,Gruszki,3,12.00
2,36,Ziemniaki,3,12.66
3,37,Szynka,2,54.55
4,38,Ser żółty,55,53.33
6,39,Ogórki,5,22.33
7,40,Pieczarki,66,33.55
8,41,Bułka,23,10.00
6,42,Chleb,45,15.00
7,43,Mleko,45,15.00
5,44,Jabka,33,56.00
3,45,Gruszki,6,12.00
2,46,Ziemniaki,3,12.66
4,47,Szynka,11,54.55
5,48,Ser żółty,1,53.33
8,49,Ogórki,1,22.33
8,50,Pieczarki,4,33.55
9,51,Bułka,1,10.00
8,52,Chleb,3,15.00
6,53,Mleko,23,15.00
4,54,Jabka,2,56.00
1,55,Gruszki,56,12.00
3,56,Ziemniaki,3,12.66
4,57,Szynka,7,54.55
5,58,Ser żółty,65,53.33
7,59,Ogórki,12,22.33
5,60,Pieczarki,5,33.55
3,61,Bułka,67,10.00
4,62,Chleb,5,15.00
322222222,63,Mleko,6,15.00
1,64,Jabka,4,56.00
2,65,Gruszki,21,12.00
3,66,Ziemniaki,3,12.66
6,67,Szynka,43,54.55
7,68,Ser żółty,12,53.33
8,69,Ogórki,3,22.33
9,70,Pieczarki,45,33.55
6,71,Bułka,23,10.00
4,72,Chleb,1,15.00
2,73,Mleko,32,15.00
3,74,Jabka,5,56.00
4,75,Gruszki,8,12.00
6,76,Ziemniaki,3,12.66
8,77,Szynka,32,54.55
9,78,Ser żółty,2,53.33
7,79,Ogórki,6,22.33
5,80,Pieczarki,53,33.55
4,81,Bułka,4,10.00
3,82,Chleb,12,15.00
2,83,Mleko,45,15.00
4,84,Jabka,5,56.00
5,85,Gruszki,21,12.00
6,86,Ziemniaki,56,12.66
7,87,Szynka,21,54.55
8,88,Ser żółty,7,53.33
9,89,Ogórki,56,22.33
1,90,Pieczarki,7,33.55
2,91,Bułka,5,10.00
3,92,Chleb,75,15.00
4,93,Mleko,6,15.00
5,94,Jabka,6,56.00
6,95,Gruszki,8,12.00
4,96,Ziemniaki,12,12.66
3,97,Szynka,6,54.55
2,98,Ser żółty,5,53.33
7,99,Ogórki,25,22.33
8 2,100,Pieczarki,3,33.55
9,101,Bułka,73,10.00
7,102,Chleb,23,15.00
3,103,Mleko,45,15.00
3,104,Jabka,8,56.00
3,105,Gruszki,56,12.00
4,106,Ziemniaki,24,12.66
5,107,Szynka,4,54.55
6,108,Ser żółty,21,53.33
7,109,Ogórki,4,22.33
8,110,Pieczarki,67,33.55
9,111,Bułka,3,10.00
7,112,Chleb,1,15.00
6,113,Mleko,9,15.00
4,114,Jabka,2,56.00
3,115,Gruszki,1,12.00
5,116,Ziemniaki,5,12.66
6,117,Szynka,12,54.55
5,118,Ser żółty,22,53.33
3,119,Ogórki,3,22.33
2,120,Pieczarki,6,33.55
3,121,Bułka,2,10.00
4,122,Chleb,8,15.00
5,123,Mleko,7,15.00
7,124,Jabka,34,56.00
8,125,Gruszki,7,12.00
6,126,Ziemniaki,5,12.66
5,127,Szynka,4,54.55
4,128,Ser żółty,34,53.33
3,129,Ogórki,5,22.33
1,130,Pieczarki,7,33.55
2,131,Bułka,8,10.00
3,132,Chleb,8,15.020
5,133,Mleko,7,15.00
6,134,Jabka,5,56.00
7,135,Gruszki,4,12.00
8,136,Ziemniaki,34,12.66
9,137,Szynka,5,54.55
7,138,Ser żółty,7,53.33
6,139,Ogórki,89,22.33
5,140,Pieczarki,8,33.55
4,141,Bułka,7,10.00
3,142,Chleb,4,15.00
2,143,Mleko,2,15.00
1,144,Jabka,2,56.00
2,145,Gruszki,67,12.00
3,146,Ziemniaki,78,12.66
4,147,Szynka,8,54.55
5,148,Ser żółty,5,53.33
6,149,Ogórki,34,22.33
7,150,Pieczarki,3,33.55
8,151,Bułka,4,10.00
9,152,Chleb,3,15.00
7,153,Mleko,2,15.00
6,154,Jabka,5,56.00
5,155,Gruszki,3,12.00
4,156,Ziemniaki,34,12.66
3,157,Szynka,5,54.55
9,158,Ser żółty,45,53.33
3,159,Ogórki,3,22.33
9,160,Pieczarki,9,33.55
9,161,Bułka,5,10.00
9,162,Chleb,1,15.00
9,163,Mleko,56,15.00
6,164,Jabka,1,56.00
6,165,Gruszki,5,12.00
4,166,Ziemniaki,9,12.66
3,167,Szynka,4,54.55
1,168,Ser żółty,54,53.33
2,169,Ogórki,23,22.33
3,170,Pieczarki,23,33.55
4,171,34,10.00
5,172,Chleb,78,15.00
6,173,Mleko,9,15.00
7,174,Jabka,56,56.00
5,175,Gruszki,34,12.00
4,176,Ziemniaki,5,12.66
3,177,Szynka,2,54.55
4,178,Ser żółty,42,53.33
5,179,Ogórki,2,22.33
7,180,Pieczarki,45,33.55
8,181,Bułka,22,10.00
9,182,Chleb,7,15.00
6,183,Mleko,7,15.00
4,184,Jabka,9,56.00
3,185,Gruszki,7,12.00
4,186,Ziemniaki,33,12.66
5,187,Szynka,42,54.55
6,188,Ser żółty,1,53.33
5,189,Ogórki,33,22.33
4,190,Pieczarki,1,33.55
5,191,Bułka,45,10.00
6,192,Chleb,3,15.00
7,193,Mleko,58,15.00
8,194,Jabka,68,56.00
5,195,Gruszki,97,12.00
5,196,Ziemniaki,3,1as2.66
5,197,Szynka,2,54.55
5,198,Ser żółty,5,53.33
4,199,Ogórki,7,22.33
6,200,Pieczarki,65,33.55